relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
70655@33_41-70655@33_33,70655@33,Alfred Binet-Breuer,,0.316,"{Nevertheless,he,had,established,his,name,internationally,in,the,field,"","",Morton,Prince,for,example,stating,in,1904,that,``,certain,problems,in,subconscious,automatism,will,always,be,associated,with,the,names,of,Breuer,and,Freud,in,Germany,"","",Janet,and,Alfred,Binet,in,France,'',.}",33,1,41,2,2,"{people_between_bucket=1,""BETW_L_[prep_of prep_in conj_and]""}","{-0.814187,-0.0077318}"
28366978@27_15-28366978@27_8,28366978@27,Bruce Lester-Davis,,0.368,"{Writer,Jerry,Asher,"","",a,long-time,friend,of,Davis,"","",recalled,:,``,She,found,Bruce,attractive,and,sweet,"","",but,he,was,a,bit,tame,for,her,speed,.,''}",8,1,15,1,1,"{people_between_bucket=0,NGRAM_1_[find],NGRAM_1_[recall],""BETW_L_[prep_of appos nsubj ccomp dobj]""}","{-0.729378,0.158292,-0.0862695,-0.00444029}"
3667561@51_16-3667561@51_12,3667561@51,Begum Samru-Akbar Shah,,0.286,"{Her,palace,in,Chandni,Chowk,was,built,in,a,garden,gifted,by,Akbar,Shah,to,the,Begum,when,he,ascended,the,throne,after,the,death,of,Shah,Alam,in,1806,.}",12,2,16,1,1,"{people_between_bucket=0,BETW_L_[prep_to],BETW_D_[prep_to],BETW_[prep_to]}","{-0.729378,-0.022999,-0.022999,-0.022999}"
31936630@32_4-31936630@32_26,31936630@32,Leva Bates-Hulk Hogan,,0.164,"{In,September,2012,"","",Bates,appeared,again,on,``,Impact,Wrestling,'',"","",portraying,a,stagehand,who,helped,the,Aces,&,Eights,faction,abduct,Sting,and,Hulk,Hogan,.}",26,2,4,1,1,"{INV_NGRAM_1_[appear],INV_NGRAM_1_[help],INV_NGRAM_1_[portray],INV_NGRAM_1_[faction],INV_NGRAM_1_[abduct],""INV_NGRAM_2_[faction abduct]""}","{-0.864463,-0.45307,-0.327753,0.0124501,0.00669818,0.00669818}"
16102635@1_1-16102635@1_29,16102635@1,Schoolboy Cleve-Lightnin,,0.664,"{Schoolboy,Cleve,Schoolboy,Cleve,-LRB-,June,10,"","",1925,February,5,"","",2008,-RRB-,"","",born,Cleveland,White,"","",was,an,American,blues,harmonica,player,"","",who,worked,with,Lightnin,',Slim,"","",Sonny,Boy,Williamson,"","",Muddy,Waters,"","",and,Buddy,Guy,.}",29,1,1,1,1,"{INV_NGRAM_1_[bear],INV_NGRAM_1_[work],INV_NGRAM_1_[2008],INV_NGRAM_1_[american],INV_NGRAM_1_[5],INV_NGRAM_1_[blues]}","{2.23147,-0.544445,-0.454753,-0.292358,-0.146502,-0.124923}"
16134@321_25-16134@321_28,16134@321,Jefferson Davis-Varina,,0.502,"{A,hand-woven,crown,of,thorns,associated,with,the,portrait,is,often,said,to,have,been,made,by,the,Pope,but,may,have,been,woven,by,Davis,',wife,Varina,.}",28,1,25,1,1,"{""INV_BETW_L_[appos poss]"",""INV_BETW_D_[appos wife poss]"",""INV_BETW_[appos wife poss]"",INV_NGRAM_1_[wife]}","{0.521358,-0.260259,-0.260259,-0.0323277}"
1658232@142_0-1658232@142_6,1658232@142,Gerhard Ritter-Hitler,,0.458,"{Ritter,argued,that,the,precursors,of,Hitler,were,``,neither,Frederick,the,Great,"","",Bismarck,nor,Wilhelm,II,"","",but,the,demagogues,and,Caesars,of,modern,history,from,Danton,to,Lenin,to,Mussolini,'',.}",6,1,0,1,1,"{INV_NGRAM_1_[argue],""INV_BETW_L_[prep_of nsubj ccomp nsubj]"",INV_NGRAM_1_[precursor]}","{-0.157583,0.0880615,-0.000824086}"
21210@241_14-21210@241_0,21210@241,Niels Bohr-Victor Weisskopf,,0.334,"{Victor,Weisskopf,"","",who,later,became,the,Director,General,of,CERN,"","",summed,up,Bohr,'s,role,"","",saying,that,``,there,were,other,personalities,who,started,and,conceived,the,idea,of,CERN,.}",0,2,14,1,1,"{people_between_bucket=0,NGRAM_1_[later],""BETW_L_[nsubj dobj poss]"",NGRAM_1_[become],""NGRAM_2_[later become]"",NGRAM_1_[sum]}","{-0.729378,-0.305326,0.282705,-0.168532,0.0473343,-0.00872369}"
29633441@19_0-29633441@19_4,29633441@19,Jamie Wong-Wong Man-shing,t,0.938,"{Jamie,'s,father,is,Wong,Man-shing,.}",4,2,0,1,1,"{INV_NGRAM_1_[father],INV_NGRAM_1_['s],""INV_BETW_L_[nsubj poss]"",""INV_BETW_[nsubj father poss]"",""INV_BETW_D_[nsubj father poss]"",""INV_NGRAM_2_['s father]""}","{2.55796,-1.17199,0.66391,0.399578,0.399578,0.202945}"
25002881@4_0-25002881@4_6,25002881@4,Gabriele Giolito de' Ferrari-Giovanni,,0.906,"{Giolito,was,born,at,Trino,to,Giovanni,the,Elder,and,Guglielmina,Borgominieri,.}",6,1,0,1,1,"{INV_NGRAM_1_[bear],""INV_BETW_L_[nn prep_to prep_at nsubjpass]""}","{2.23147,-0.000486152}"
20416602@2_15-20416602@2_19,20416602@2,Reinhard Haupenthal-Goethe,,0.26,"{Donald,J.,Harlow,described,Haupenthal,'s,personal,style,in,a,warning,to,potential,readers,of,Haupenthal,'s,translation,of,Goethe,'s,``,Young,Werther,'',:,``,the,vocabulary,used,by,Haupenthal,is,far,from,standard,"","",and,at,times,the,Esperanto,verges,on,the,incomprehensible,.,''}",19,1,15,1,1,"{INV_NGRAM_1_['s],""INV_BETW_L_[poss prep_of poss]"",INV_NGRAM_1_[translation],""INV_NGRAM_2_['s translation]""}","{-1.17199,0.121831,0.00875002,0.00539033}"
2041477@4_0-2041477@4_11,2041477@4,Avram Glazer-Linda Glazer,t,1,"{Glazer,was,born,to,a,Jewish,family,"","",the,son,of,Linda,and,Malcolm,Glazer,"","",American,businessman,and,billionaire,.}",11,2,0,1,1,"{INV_NGRAM_1_[bear],INV_NGRAM_1_[son],""INV_BETW_L_[null null nsubjpass]"",INV_NGRAM_1_[jewish],INV_NGRAM_1_[family],""INV_NGRAM_2_[jewish family]""}","{2.23147,1.76438,1.28516,0.317705,0.174575,0.0665546}"
5174545@1_0-5174545@1_3,5174545@1,Samuel Sánchez-Samuel `` Sammy,,0.17,"{Samuel,S,nchez,Samuel,``,Sammy,'',S,nchez,Gonz,lez,-LRB-,born,5,February,1978,-RRB-,is,a,Spanish,professional,road,bicycle,racer,"","",with,the,.}",3,3,0,1,1,"{INV_NGRAM_1_[s],""INV_BETW_L_[nn dep nn]"",""INV_NGRAM_2_[s nchez]"",INV_NGRAM_1_[nchez]}","{-0.845661,-0.692312,-0.0109147,-0.00198101}"
18345864@1_0-18345864@1_45,18345864@1,Juan Carlos Da Costa-Alfredo Stroessner,,0.742,"{Juan,Carlos,Da,Costa,Juan,Carlos,Da,Costa,-LRB-,born,1944,in,Asunci,n,"","",Paraguay,-RRB-,was,a,writer,"","",politician,"","",activist,and,leader,of,the,OPM,-LRB-,Political,Military,Organization,-RRB-,clandestine,movement,"","",created,in,the,mid,1970s,"","",against,General,Alfredo,Stroessner,'s,dictatorship,.}",45,2,0,4,4,"{INV_NGRAM_1_[bear],INV_NGRAM_1_[n],INV_NGRAM_1_[1944],INV_NGRAM_1_[da],INV_NGRAM_1_[leader],INV_NGRAM_1_[1970]}","{2.23147,-0.860368,0.34508,-0.287892,-0.276099,-0.144868}"
5231068@54_18-5231068@54_5,5231068@54,Jan Klein-George D. Snell,,0.586,"{These,strains,were,developed,by,George,D.,Snell,"","",Jack,H.,Stimpfling,"","",Donald,C.,Shreffler,"","",and,Jan,Klein,.}",5,3,18,2,2,"{people_between_bucket=2,BETW_D_[conj_and],BETW_L_[conj_and],BETW_[conj_and]}","{-1.00443,0.448027,0.447303,0.445611}"
2522239@22_8-2522239@22_26,2522239@22,R. D. Wingfield-Kenneth Williams,,0.104,"{As,well,as,the,many,mystery,plays,"","",Wingfield,also,penned,a,comedy,radio,series,"","",``,The,Secret,Life,of,Kenneth,Williams,'',"","",starring,Kenneth,Williams,as,a,secret,agent,.}",26,2,8,1,1,"{INV_NGRAM_1_[star],INV_NGRAM_1_[also],INV_NGRAM_1_[comedy],INV_NGRAM_1_[life],INV_NGRAM_1_[secret],INV_NGRAM_1_[series]}","{-0.787462,-0.687095,-0.382361,0.177875,-0.126785,-0.113552}"
22972268@31_0-22972268@31_7,22972268@31,Shirly Brener-Ted Field,,0.36,"{Brener,is,thrilled,to,be,working,under,Ted,Field,.}",7,2,0,1,1,"{INV_NGRAM_1_[work],""INV_BETW_L_[prep_under xcomp nsubjpass]"",INV_NGRAM_1_[thrill],""INV_BETW_[prep_under work xcomp thrill nsubjpass]"",""INV_BETW_D_[prep_under work xcomp thrill nsubjpass]""}","{-0.544445,0.00975605,0.001726,0.001726,0.001726}"
3363866@3_0-3363866@3_4,3363866@3,Romuald I of Benevento-Gisa,,0.218,"{Romuald,betrothed,his,sister,Gisa,to,Byzantine,Emperor,Constans,II,.}",4,1,0,1,1,"{""INV_BETW_L_[dobj nsubj]"",INV_NGRAM_1_[sister],INV_NGRAM_1_[betroth],""INV_BETW_D_[dobj betroth nsubj]"",""INV_BETW_[dobj betroth nsubj]""}","{-0.973964,-0.317554,0.0152776,0.0101483,0.0101483}"
41735231@45_16-41735231@45_11,41735231@45,David J. Impastato-Lothar Kalinowski,,0.324,"{Early,U.S.,practitioners,such,as,Victor,Gonda,"","",Douglas,Goldman,and,Lothar,Kalinowski,followed,the,landmark,Impastato,and,Almansi,article,with,their,own,published,studies,of,ECT,.}",11,2,16,1,1,"{people_between_bucket=0,NGRAM_1_[follow],""BETW_L_[conj_and prep_such_as nsubj dobj]"",NGRAM_1_[landmark]}","{-0.729378,-0.12085,-0.0212804,-0.00242047}"
1111874@129_3-1111874@129_12,1111874@129,Vitor Belfort-Ricco Rodriguez,,0.228,"{In,the,championship,Belfort,faced,Genki,Sudo,"","",winning,by,points,"","",Ricco,Rodriguez,"","",winning,by,points,"","",Ricardo,Arona,in,the,semi-final,"","",losing,by,points,and,finally,in,the,3rd,place,fight,defeating,Ricardo,Almeida,by,points,"","",winning,the,bronze,medal,.}",12,2,3,1,1,"{INV_NGRAM_1_[win],INV_NGRAM_1_[point],INV_NGRAM_1_[face],""INV_BETW_[appos point agent win vmod face nsubj]"",""INV_BETW_D_[appos point agent win vmod face nsubj]"",""INV_BETW_L_[appos agent vmod nsubj]""}","{-0.591333,-0.478514,-0.204501,0.00672961,0.00672961,0.00672961}"
14514560@41_3-14514560@41_17,14514560@41,Algernon Willis-Violet Helen Millar,,0.474,"{In,September,1916,Willis,married,Olive,Christine,Millar,"","",daughter,of,Henry,Edward,Millar,and,sister,of,Violet,Helen,Millar,-LRB-,who,married,Clement,Attlee,-RRB-,:,they,had,two,daughters,.}",17,3,3,1,1,"{INV_NGRAM_1_[daughter],INV_NGRAM_1_[marry],INV_NGRAM_1_[sister],""INV_BETW_L_[prep_of conj_and dobj nsubj]""}","{1.52214,-1.27006,-0.317554,0.125986}"
25115259@3_43-25115259@3_33,25115259@3,"Frederick VI, Landgrave of Hesse-Homburg-Caroline of Hesse-Darmstadt",,0.53,"{Born,in,Homburg,"","",Hesse,"","",on,30,July,1769,"","",Friedrich,Joseph,Ludwig,Carl,August,was,the,eldest,son,of,the,incumbent,Landgrave,of,Hesse-Homburg,"","",Frederick,V,"","",and,his,wife,Caroline,of,Hesse-Darmstadt,"","",the,eldest,child,of,the,then,Landgrave,of,Hesse-Darmstadt,"","",Louis,IX,.}",33,3,43,1,1,"{people_between_bucket=0,NGRAM_1_[child],""BETW_L_[prep_of conj_and conj_and prep_of]"",""NGRAM_2_[eldest child]"",NGRAM_1_[eldest]}","{-0.729378,0.677572,0.101227,0.0920931,0.00585204}"
36446524@1_3-36446524@1_29,36446524@1,Sancha Raimúndez-Urraca,,0.568,"{Sancha,Raim,ndez,Sancha,Raim,ndez,of,Le,n,-LRB-,c.,1095/1102,28,February,1159,-RRB-,was,a,Leonese,infanta,"","",the,daughter,of,Raymond,of,Burgundy,and,Queen,Urraca,of,Le,n,and,Castile,and,the,older,sister,of,Alfonso,VII,of,Le,n,and,Castile,.}",29,1,3,2,2,"{INV_NGRAM_1_[daughter],INV_NGRAM_1_[n],INV_NGRAM_1_[ndez],INV_NGRAM_1_[c.],INV_NGRAM_1_[28],INV_NGRAM_1_[leonese]}","{1.52214,-0.860368,-0.575563,0.327762,-0.211787,0.0110189}"
11139954@3_0-11139954@3_23,11139954@3,"Alfonso IV d'Este, Duke of Modena-Maria Caterina Farnese",t,0.984,"{Alfonso,was,born,in,Modena,"","",the,eldest,son,of,Francesco,I,d'Este,"","",Duke,of,Modena,"","",and,his,first,wife,"","",Maria,Caterina,Farnese,.}",23,3,0,1,1,"{INV_NGRAM_1_[bear],INV_NGRAM_1_[son],""INV_NGRAM_2_[first wife]"",INV_NGRAM_1_[first],INV_NGRAM_1_[eldest],""INV_NGRAM_2_[eldest son]""}","{2.23147,1.76438,0.533701,-0.344585,0.341573,-0.262935}"
1298357@103_27-1298357@103_13,1298357@103,Audley Harrison-Adams,,0.236,"{Harrison,sent,his,opponent,to,the,canvas,with,a,right,hand,and,although,Adams,managed,to,get,to,his,feet,"","",a,flurry,of,follow-up,shots,from,Harrison,prompted,the,referee,to,step,in,and,end,the,contest,.}",13,1,27,1,1,"{people_between_bucket=0,NGRAM_1_[get],NGRAM_1_[foot],NGRAM_1_[shot],NGRAM_1_[manage],""BETW_L_[nsubj advcl nsubj prep_of prep_from]""}","{-0.729378,-0.245802,-0.123046,0.0714158,0.0405003,-0.00520922}"
3409738@16_16-3409738@16_6,3409738@16,Gordon Haskell-Ahmet Erteg,,0.17,"{He,auditioned,for,Atlantic,Records,head,Ahmet,Erteg,n,"","",which,led,to,Arif,Mardin,producing,Haskell,s,1971,solo,album,``,It,Is,and,It,Isn,t,'',.}",6,2,16,1,1,"{people_between_bucket=2,NGRAM_1_[n],NGRAM_1_[produce],NGRAM_1_[lead],""BETW_D_[nn n rcmod lead prepc_to produce iobj s nn]"",""BETW_L_[nn rcmod prepc_to iobj nn]""}","{-1.00443,-0.428108,-0.124848,-0.0375067,-0.00271274,-0.00271274}"
4032996@3_0-4032996@3_5,4032996@3,Lu Zhongyi-Yiguan Dao,,0.516,"{Lu,is,"","",according,to,Yiguan,Dao,doctrine,"","",the,incarnation,of,Maitreya,.}",5,2,0,1,1,"{INV_NGRAM_1_[accord],""INV_BETW_L_[nn pobj nsubj]""}","{-0.0375917,-0.000486233}"
3894098@21_19-3894098@21_33,3894098@21,Nikolay Raevsky-Paul,,0.334,"{Upon,his,ascension,to,the,throne,"","",Emperor,Paul,I,recalled,the,army,back,to,Russia,"","",and,had,Raevsky,dismissed,from,the,military,because,of,his,relationship,to,Prince,Potemkin,"","",whom,Paul,detested,.}",33,1,19,1,1,"{INV_NGRAM_1_[relationship],INV_NGRAM_1_[military],INV_NGRAM_1_[dismiss],""INV_BETW_L_[nsubj rcmod prep_to prep_because_of nsubj]""}","{-0.619252,-0.101331,0.0289312,0.00682608}"
21989591@34_6-21989591@34_20,21989591@34,Ogarita Booth Henderson-Floy Crowell,,0.398,"{On,April,12,"","",1892,"","",Ogarita,Booth,Henderson,died,from,pneumonia,at,age,32,while,on,the,road,with,Floy,Crowell,'s,Dramatic,Company,in,Binghamton,"","",New,York,"","",and,was,buried,in,Glenwood,Cemetery,in,Binghamton,.}",20,2,6,3,3,"{INV_NGRAM_1_[die],INV_NGRAM_1_[age],INV_NGRAM_1_[road],INV_NGRAM_1_[pneumonia],INV_NGRAM_1_[32],""INV_NGRAM_2_[age 32]""}","{-0.595365,0.231211,-0.0788204,0.011557,-0.00901438,-0.00242653}"
1619490@31_3-1619490@31_18,1619490@31,Thaddeus McCarthy-Desmond,,0.312,"{Opponents,of,the,McCarthy,clan,included,the,corporation,of,the,City,of,Cork,"","",and,the,Earl,of,Desmond,.}",18,1,3,1,1,"{INV_NGRAM_1_[include],INV_NGRAM_1_[clan],INV_NGRAM_1_[corporation],""INV_NGRAM_2_[clan include]"",""INV_BETW_L_[prep_of conj_and prep_of dobj nsubj prep_of nn]""}","{-0.906718,-0.123262,-0.00360101,0.00259735,0.00259735}"
11070997@15_27-11070997@15_31,11070997@15,Gheorghe Flondor-Iancu,,0.298,"{In,1923,"","",he,entered,politics,"","",joining,the,National,Liberal,Party,at,the,suggestion,of,Ion,Nistor,"","",a,bitter,political,and,open,personal,enemy,of,Flondor,'s,uncle,"","",Iancu,.}",31,1,27,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[uncle],""INV_NGRAM_2_['s uncle]"",""INV_BETW_L_[appos appos prep_of poss]"",""INV_BETW_D_[appos suggestion appos enemy prep_of uncle poss]"",""INV_BETW_[appos suggestion appos enemy prep_of uncle poss]""}","{-1.17199,0.262262,0.213732,-0.0050917,-0.0050917,-0.0050917}"
6040860@1_0-6040860@1_6,6040860@1,James d'Avigdor-Goldsmid-Jack,,0.378,"{James,d'Avigdor-Goldsmid,Major-General,Sir,James,-LRB-,Jack,-RRB-,Arthur,d'Avigdor-Goldsmid,"","",3rd,Baronet,"","",CB,"","",OBE,"","",MC,-LRB-,19,December,1912,6,September,1987,-RRB-,was,a,British,Army,officer,and,British,Conservative,politician,.}",6,1,0,2,2,"{""INV_BETW_L_[appos nn]""}",{-0.556764}
32520945@1_0-32520945@1_10,32520945@1,Robert Leslie Thomas Galbraith-Galbraith,f,0.054,"{Robert,Leslie,Thomas,Galbraith,Robert,Leslie,Thomas,``,R.L.T.,'',Galbraith,-LRB-,1841,May,1924,-RRB-,was,an,Irish-born,merchant,and,political,figure,in,British,Columbia,.}",10,1,0,3,3,"{INV_BETW_D_[nn],INV_BETW_[nn],INV_BETW_L_[nn]}","{-0.819983,-0.819235,-0.819235}"
147367@85_0-147367@85_26,147367@85,Aretha Franklin-Otis Redding,,0.028,"{Franklin,'s,first,Arista,album,"","",``,Aretha,'',"","",featured,the,#,3,R&B,hit,"","",``,United,Together,'',and,her,Grammy-nominated,cover,of,Otis,Redding,'s,``,I,Ca,n't,Turn,You,Loose,'',.}",26,2,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[cover],INV_NGRAM_1_[album],INV_NGRAM_1_[feature],INV_NGRAM_1_[first],INV_NGRAM_1_[r&b]}","{-1.17199,-0.461631,-0.442533,-0.373184,-0.344585,-0.161332}"
1227676@56_34-1227676@56_1,1227676@56,Charles Court-Howard,,0.042,"{Mr,Howard,said,:,If,you,think,back,over,the,last,50,years,"","",no,figure,in,public,life,has,done,more,to,promote,resource,development,in,this,state,and,therefore,Australia,than,Sir,Charles,Court,.}",1,1,34,2,2,"{people_between_bucket=0,NGRAM_1_[state],NGRAM_1_[say],NGRAM_1_[back],NGRAM_1_[public],NGRAM_1_[therefore]}","{-0.729378,-0.449848,-0.327728,-0.320998,-0.296765,-0.167686}"
545011@56_24-545011@56_0,545011@56,Karl Baedeker-Hinrichsen,,0.13,"{Hinrichsen,'s,referencing,is,akin,to,that,of,Ludwig,Ritter,von,K,chel,'s,index,of,Mozart,'s,works,"","",in,as,much,as,Baedeker,guides,are,also,referred,to,by,their,Hinrichsen,number,la,K,chel/Mozart,.}",0,1,24,1,1,"{people_between_bucket=2,NGRAM_1_['s],NGRAM_1_[work],""NGRAM_2_['s work]"",NGRAM_1_[von],NGRAM_1_[much]}","{-1.00443,-0.57959,-0.361606,-0.102173,-0.052211,0.0265016}"
24956064@18_4-24956064@18_18,24956064@18,Anthony Foxx-Helms,,0.262,"{After,law,school,"","",Foxx,returned,to,Charlotte,to,work,for,a,short,time,at,the,Smith,"","",Helms,"","",Mullis,"","",and,Moore,law,firm,"","",and,left,to,become,a,clerk,for,Judge,Nathaniel,R.,Jones,of,the,Sixth,Circuit,Court,of,Appeals,in,Cincinnati,.}",18,1,4,1,1,"{INV_NGRAM_1_[work],INV_NGRAM_1_[time],INV_NGRAM_1_[return],INV_NGRAM_1_[short],""INV_NGRAM_2_[short time]"",""INV_BETW_L_[nn appos prep_at xcomp nsubj]""}","{-0.544445,-0.319971,-0.167974,-0.161587,-0.0322119,-0.0296735}"
4015641@43_16-4015641@43_8,4015641@43,Khachatur Abovian-Parrot,,0.224,"{Impressed,with,Abovian,'s,thirst,for,knowledge,"","",Parrot,arranged,for,a,Russian,state,scholarship,for,Abovian,to,study,at,the,University,of,Dorpat,in,1830,.}",8,1,16,1,1,"{people_between_bucket=0,NGRAM_1_[state],NGRAM_1_[russian],NGRAM_1_[arrange],""BETW_L_[nsubj prep_for rcmod nsubj]"",NGRAM_1_[scholarship]}","{-0.729378,-0.449848,0.246796,-0.107993,-0.049927,-0.0174123}"
31175959@55_11-31175959@55_0,31175959@55,Zhang Quanyi-Zhu,,0.362,"{Zhu,commissioned,Ding,the,acting,military,governor,of,Heyang,and,recommissioned,Zhang,as,the,mayor,of,Henan,.}",0,1,11,1,1,"{people_between_bucket=1,NGRAM_1_[governor],""BETW_L_[nsubj conj_and dobj]"",""NGRAM_2_[military governor]"",NGRAM_1_[commission],NGRAM_1_[military]}","{-0.814187,0.217187,0.110347,0.104591,-0.0795351,-0.0540077}"
1339415@21_0-1339415@21_7,1339415@21,Michael Franzese-Walters,,0.42,"{Franzese,was,later,subpoenaed,to,testify,at,Walters,',trial,"","",as,Walters,had,invoked,his,name,to,frighten,college,athletes,into,signing,management,contracts,.}",7,1,0,1,1,"{INV_NGRAM_1_[later],INV_NGRAM_1_[testify],INV_NGRAM_1_[subpoena],""INV_BETW_L_[poss prep_at xcomp nsubjpass]"",""INV_BETW_D_[poss trial prep_at testify xcomp subpoena nsubjpass]"",""INV_BETW_[poss trial prep_at testify xcomp subpoena nsubjpass]""}","{-0.314793,-0.0587365,0.00412561,-0.00135415,-0.00135415,-0.00135415}"
24050715@6_25-24050715@6_10,24050715@6,Amos McLemore-James McLemore,,0.218,"{The,patriarchs,and,matriarchs,of,the,American,McLemore,family,were,James,and,Abraham,McLemore,"","",who,probably,were,brothers,"","",and,Fortune,-LRB-,Gilliam,-RRB-,McLemore,"","",James,'s,wife,.}",10,2,25,1,1,"{people_between_bucket=2,NGRAM_1_[brother],NGRAM_1_[probably],NGRAM_1_[fortune],NGRAM_1_[gilliam],""BETW_L_[null null dep ccomp]""}","{-1.00443,-0.21458,-0.084496,-0.0762126,0.00463566,0.00463566}"
29045596@42_8-29045596@42_15,29045596@42,Shi Pu-Qin,,0.448,"{This,led,to,a,dispute,between,Zhu,and,Shi,over,whose,accomplishment,it,was,that,Qin,was,destroyed,"","",and,their,relationship,deteriorated,even,more,.}",15,1,8,1,1,"{INV_NGRAM_1_[whose],INV_NGRAM_1_[accomplishment],""INV_NGRAM_2_[whose accomplishment]"",""INV_BETW_L_[nsubjpass ccomp prepc_over prep_between conj_and]""}","{-0.159911,-0.0624821,0.00508073,0.00508073}"
32759125@48_1-32759125@48_34,32759125@48,Muriel Nezhnie Helfman-Jonathan,,0.034,"{After,Helfman,'s,tour,of,duty,"","",they,moved,to,New,Haven,"","",CT,"","",where,he,received,a,Master,of,Fine,Arts,degree,at,Yale,University,and,their,two,children,"","",Ilisha,and,Jonathan,were,born,.}",34,1,1,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[child],INV_NGRAM_1_[move],INV_NGRAM_1_[two],INV_NGRAM_1_[tour],""INV_NGRAM_2_[two child]""}","{-1.17199,0.930447,-0.739148,-0.621691,-0.561758,-0.365198}"
3009452@40_10-3009452@40_35,3009452@40,Charles Hiram Randall-Clara L. McDonald,,0.5,"{He,was,elected,in,the,primary,"","",the,votes,being,Randall,"","",""4,691"",;,John,E.,Lambert,"","",who,had,the,``,Times,'',endorsement,"","",""2,598"",;,Frank,W.,Berkshire,"","",""1,676"",;,and,Clara,L.,McDonald,"","",233,.}",35,3,10,1,1,"{INV_NGRAM_1_[endorsement],""INV_NGRAM_1_[2,598]"",""INV_BETW_L_[conj_and vmod]"",""INV_BETW_[conj_and vote vmod]"",""INV_BETW_D_[conj_and vote vmod]"",""INV_NGRAM_1_[4,691]""}","{-0.0386948,0.0051694,0.0051694,0.0051694,0.0051694,0.0051694}"
42380890@6_0-42380890@6_13,42380890@6,F. Dohrman Yuengling-Frederick,,0.576,"{Yuengling,was,raised,in,the,Frank,D.,Yuengling,Mansion,along,with,his,siblings,Frederick,"","",Augusta,and,twins,Richard,and,David,Gual,.}",13,1,0,1,1,"{INV_NGRAM_1_[raise],INV_NGRAM_1_[along],INV_NGRAM_1_[sibling],""INV_BETW_L_[prep_along_with nsubjpass]"",""INV_BETW_[prep_along_with raise nsubjpass]"",""INV_BETW_D_[prep_along_with raise nsubjpass]""}","{0.505296,-0.224122,-0.048311,-0.0041925,0.00313219,0.00313219}"
11716560@4_0-11716560@4_5,11716560@4,"Archibald Douglas, Earl of Moray-James Douglas",,0.942,"{Douglas,was,the,son,of,James,Douglas,of,Balveny,-LRB-,later,7th,Earl,of,Douglas,-RRB-,and,Lady,Beatrice,Sinclair,"","",daughter,to,Henry,II,Sinclair,"","",Earl,of,Orkney,He,was,a,twin,brother,of,James,Douglas,"","",9th,Earl,of,Douglas,.}",5,2,0,1,1,"{INV_NGRAM_1_[son],""INV_BETW_D_[prep_of son nsubj]"",""INV_BETW_[prep_of son nsubj]"",""INV_BETW_L_[prep_of nsubj]""}","{1.76438,0.606608,0.606464,0.0160227}"
1479179@17_12-1479179@17_28,1479179@17,Gay Mitchell-Enda Kenny,,0.318,"{Following,Michael,Noonan,'s,resignation,as,Fine,Gael,leader,in,2002,"","",Mitchell,was,a,challenger,in,the,subsequent,leadership,election,"","",losing,out,to,the,victor,"","",Enda,Kenny,.}",28,2,12,1,1,"{INV_NGRAM_1_[lose],INV_NGRAM_1_[election],INV_NGRAM_1_[leadership],INV_NGRAM_1_[subsequent],INV_NGRAM_1_[challenger],""INV_NGRAM_2_[leadership election]""}","{-0.437549,-0.2217,-0.0672538,0.0427073,0.0157799,0.0102863}"
4588950@16_5-4588950@16_15,4588950@16,Penny Downie-Fiona Sullivan,,0.256,"{Most,recently,in,2014,"","",Downie,starred,in,an,episode,of,``,Suspects,'',as,Fiona,Sullivan,"","",and,is,currently,appearing,as,Lady,Sinderby,"","",mother,of,Atticus,Aldridge,"","",in,series,five,of,``,Downton,Abbey,.,''}",15,2,5,1,1,"{INV_NGRAM_1_[star],INV_NGRAM_1_[episode],INV_NGRAM_1_[suspect],""INV_BETW_L_[prep_as prep_of prep_in nsubj]"",""INV_BETW_D_[prep_as suspect prep_of episode prep_in star nsubj]"",""INV_BETW_[prep_as suspect prep_of episode prep_in star nsubj]""}","{-0.787462,-0.131171,-0.100767,0.00438426,0.00158251,0.00158251}"
17442625@87_0-17442625@87_6,17442625@87,Mike Kyle-Travis Wiuff,,0.356,"{Kyle,then,had,a,rematch,with,Travis,Wiuff,and,won,via,knockout,only,21,seconds,into,the,fight,.}",6,2,0,1,1,"{""INV_BETW_L_[prep_with dobj nsubj]"",INV_NGRAM_1_[rematch]}","{-0.552424,-0.119433}"
262777@61_6-262777@61_26,262777@61,Jonathan Miller-Mozart,,0.13,"{In,April,and,May,2011,"","",Miller,directed,Verdi,'s,``,La,Traviata,'',in,Vancouver,"","",Canada,"","",and,in,February,and,March,2012,"","",Mozart,'s,``,Cosi,fan,tutte,'',in,Washington,DC,"","",USA,.}",26,1,6,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[2012],INV_NGRAM_1_[direct],""INV_BETW_L_[poss dep nsubj]"",""INV_BETW_[poss tutte dep direct nsubj]"",""INV_BETW_D_[poss tutte dep direct nsubj]""}","{-1.17199,-0.339464,-0.134472,-0.0893282,-0.00322368,-0.00322368}"
